line_id	stop_id	time_from_start
849_1	9134	0
849_1	9133	39
849_1	9138	101
849_1	9137	161
849_1	9875	280
849_1	9876	310
849_1	9877	376
849_1	9139	392
849_1	9141	480
849_1	9121	900
849_1	8103	1080
849_1	9135	1260
849_1	9136	1320
849_1	8152	1500
849_1	8161	1680
849_1	9197	1800
849_1	8159	1920
849_0	8159	0
849_0	8158	55
849_0	8156	180
849_0	9164	311
849_0	9165	362
849_0	8136	480
849_0	8135	540
849_0	9101	679
849_0	9102	744
849_0	8122	852
849_0	8120	900
849_0	8118	995
849_0	9134	1246
849_0	9133	1311
849_0	9138	1415
849_0	9137	1514
849_0	9875	1711
849_0	9876	1761
849_0	9877	1871
849_0	9139	1898
849_0	9141	2040
33_1	4369	0
33_1	4368	54
33_1	4367	124
33_1	4366	163
33_1	4365	270
33_1	4364	326
33_1	4363	386
33_1	4362	423
33_1	4361	459
33_1	4360	513
33_1	4329	571
33_1	4328	656
33_1	4327	720
33_1	4326	741
33_1	4325	754
33_1	4324	812
33_1	4323	864
33_1	4322	904
33_1	4321	941
33_1	4320	988
33_1	4319	1020
33_1	4317	1102
33_1	4316	1158
33_1	4315	1249
33_1	4314	1280
33_1	4313	1363
33_1	4312	1407
33_1	4311	1553
33_1	5519	1682
33_1	5520	1740
887_1	8858	0
887_1	8857	47
887_1	8856	76
887_1	8855	103
887_1	8854	141
887_1	8853	161
887_1	8852	186
887_1	8851	210
887_1	8850	252
887_1	8849	272
887_1	8848	308
887_1	8847	333
887_1	8846	406
887_1	8845	436
887_1	8844	473
887_1	8843	503
887_1	8842	584
887_1	8841	628
887_1	8840	678
887_1	8839	767
887_1	8838	863
887_1	8737	919
887_1	8735	972
887_1	8734	1008
887_1	8733	1031
887_1	8732	1055
887_1	8731	1086
887_1	8730	1135
887_1	9153	1176
887_1	9155	1229
887_1	9156	1250
887_1	9157	1324
887_1	9158	1375
887_1	9199	1404
33_0	5520	0
33_0	5012	17
33_0	5015	86
33_0	5312	257
33_0	5313	294
33_0	5315	398
33_0	5316	462
33_0	5317	518
33_0	5318	548
33_0	5319	600
33_0	5320	645
33_0	5321	700
33_0	5322	741
33_0	5323	805
33_0	5324	868
33_0	5325	954
33_0	5326	978
33_0	5327	1020
33_0	5328	1079
33_0	5329	1162
33_0	5360	1260
33_0	5361	1352
33_0	5362	1391
33_0	5363	1453
33_0	5364	1518
33_0	5365	1605
33_0	5366	1753
33_0	5367	1812
33_0	5368	1906
33_0	5369	1980
261_1	1148	0
261_1	1248	33
261_1	1150	68
261_1	1250	97
261_1	1252	131
261_1	1254	171
261_1	1256	198
261_1	1258	220
261_1	1260	245
261_1	1262	269
261_1	1264	309
261_1	1266	339
261_1	1269	395
261_1	1271	428
261_1	1273	458
261_1	1275	493
261_1	1286	540
261_1	1288	603
261_1	1290	652
261_1	1292	678
261_1	1294	723
261_1	1194	815
261_1	1001	900
887_0	8152	0
887_0	8163	158
887_0	8161	303
887_0	8159	540
887_0	8158	579
887_0	8157	681
887_0	8155	804
887_0	8154	850
887_0	8153	901
887_0	9730	965
887_0	9731	1039
887_0	9732	1065
887_0	9733	1106
887_0	9735	1178
887_0	9736	1224
887_0	9837	1261
887_0	9838	1388
887_0	9839	1530
887_0	9840	1677
887_0	9841	1763
887_0	9842	1813
887_0	9843	1935
887_0	9844	1986
887_0	9845	2051
887_0	9846	2089
887_0	9847	2203
887_0	9848	2238
887_0	9849	2284
887_0	8862	2315
887_0	9851	2375
887_0	9852	2409
887_0	9853	2445
887_0	9854	2472
887_0	9855	2529
887_0	9856	2568
887_0	9857	2602
887_0	9858	2700
261_0	1001	0
261_0	1002	63
261_0	1100	117
261_0	1102	170
261_0	1200	235
261_0	1204	318
261_0	1206	364
261_0	1208	420
261_0	1211	465
261_0	1213	502
261_0	1215	532
261_0	1217	568
261_0	1228	629
261_0	1230	661
261_0	1232	702
261_0	1234	728
261_0	1236	754
261_0	1238	785
261_0	1240	810
261_0	1242	849
261_0	1244	880
261_0	1146	918
261_0	1148	960
611_1	4396	0
611_1	4395	76
611_1	4394	124
611_1	4393	157
611_1	4392	195
611_1	4391	273
611_1	4390	350
611_1	4389	433
611_1	4388	507
611_1	4387	553
611_1	4386	599
611_1	4385	652
611_1	4384	718
611_1	4383	767
611_1	4382	800
611_1	4381	858
611_1	4320	1014
611_1	4319	1071
611_1	4317	1169
611_1	4316	1236
611_1	4315	1345
611_1	4314	1382
611_1	4313	1481
611_1	4312	1534
611_1	5104	1740
611_1	5112	1852
611_1	4113	2040
611_1	5102	2400
JVL_1	JOHN	0
JVL_1	RARO	120
JVL_1	KHAN1	300
JVL_1	BOXH	420
JVL_1	SIML	480
JVL_1	AWAR	600
JVL_1	NGAI1	720
JVL_1	CROF	840
JVL_1	WELL	1380
56_0	5000	0
56_0	5002	95
56_0	5515	238
56_0	5006	367
56_0	5008	521
56_0	5010	676
56_0	5012	741
56_0	5014	891
56_0	5016	1020
56_0	5018	1060
56_0	5020	1088
56_0	5022	1120
56_0	5024	1142
56_0	5025	1172
56_0	5026	1221
56_0	5028	1288
56_0	3260	1358
56_0	3262	1524
56_0	3264	1555
56_0	3266	1663
56_0	3600	1777
56_0	3602	1806
56_0	3604	1849
56_0	3606	1871
56_0	3608	1920
56_0	3610	1961
56_0	3410	1986
56_0	3412	2003
56_0	3414	2044
56_0	3612	2103
56_0	3614	2162
56_0	3616	2198
56_0	3618	2244
56_0	3620	2279
56_0	3622	2320
56_0	3624	2364
56_0	3482	2409
56_0	3002	2526
56_0	3250	2640
JVL_0	WELL	0
JVL_0	CROF	480
JVL_0	NGAI2	600
JVL_0	AWAR	720
JVL_0	SIML	840
JVL_0	BOXH	900
JVL_0	KHAN2	1080
JVL_0	RARO	1260
JVL_0	JOHN	1380
56_1	3250	0
56_1	3400	129
56_1	3500	185
56_1	3502	221
56_1	3504	257
56_1	3506	294
56_1	3508	330
56_1	3510	372
56_1	3512	406
56_1	3514	429
56_1	3466	472
56_1	3468	534
56_1	3470	547
56_1	3540	600
56_1	3542	631
56_1	3544	681
56_1	3546	737
56_1	3548	794
56_1	3550	849
56_1	3254	1193
56_1	3256	1319
56_1	3258	1614
56_1	5486	1775
56_1	5488	1858
56_1	5490	1961
56_1	5492	1998
56_1	5494	2031
56_1	5496	2095
56_1	5498	2150
56_1	5500	2220
56_1	5502	2327
56_1	5506	2479
56_1	5508	2578
56_1	5510	2750
56_1	5513	2920
56_1	5514	3067
56_1	5516	3180
114_0	8580	0
114_0	9582	66
114_0	8539	119
114_0	8538	155
114_0	8559	240
114_0	8558	292
114_0	8556	350
114_0	8555	381
114_0	8554	415
114_0	8553	447
114_0	8552	497
114_0	8551	522
114_0	8550	559
114_0	8548	600
114_0	8547	658
114_0	8544	760
114_0	8543	820
114_0	8542	879
114_0	8540	1016
114_0	9525	1080
18_1	7241	0
18_1	7240	24
18_1	7239	54
18_1	7238	87
18_1	7237	108
18_1	7236	146
18_1	7235	166
18_1	7234	187
18_1	7083	240
18_1	7080	271
18_1	7028	505
18_1	7027	548
18_1	7026	600
18_1	7025	643
18_1	7024	715
18_1	7023	788
18_1	7022	845
18_1	7021	878
18_1	7020	948
18_1	7019	987
18_1	7018	1023
18_1	7017	1080
18_1	7918	1141
18_1	7917	1196
18_1	7915	1288
18_1	7914	1380
18_1	7913	1462
18_1	7912	1563
18_1	7911	1643
18_1	7909	1740
18_1	7908	1811
18_1	7907	1880
18_1	5914	1953
18_1	5915	2100
18_1	5916	2169
18_1	5917	2220
18_1	5918	2265
18_1	5319	2340
18_1	5320	2395
18_1	5321	2462
18_1	5322	2511
18_1	5323	2589
18_1	5324	2665
18_1	5325	2769
18_1	5326	2799
18_1	5327	2846
18_1	5328	2892
18_1	5329	2957
18_1	5330	3006
18_1	5331	3076
18_1	5332	3120
114_1	9525	0
114_1	9540	37
114_1	9541	86
114_1	9542	103
114_1	9543	133
114_1	9544	156
114_1	9545	183
114_1	9546	199
114_1	9548	240
114_1	9550	274
114_1	9551	303
114_1	9552	340
114_1	9553	386
114_1	9554	426
114_1	9555	452
114_1	9556	481
114_1	9558	544
114_1	9559	600
114_1	9538	746
114_1	9539	803
114_1	8582	892
114_1	8580	960
18_0	4332	0
18_0	4331	40
18_0	4330	85
18_0	4329	104
18_0	4328	165
18_0	4327	206
18_0	4326	230
18_0	4325	244
18_0	4324	308
18_0	4323	366
18_0	4322	410
18_0	4321	451
18_0	4320	502
18_0	4319	540
18_0	4918	618
18_0	4917	666
18_0	4916	746
18_0	4915	840
18_0	6906	976
18_0	6908	1085
18_0	6909	1140
18_0	6911	1252
18_0	6913	1374
18_0	6914	1500
18_0	6915	1582
18_0	6917	1703
18_0	6918	1738
18_0	6055	1800
18_0	6019	1920
18_0	6021	2031
18_0	6022	2089
18_0	6023	2160
18_0	6024	2264
18_0	6025	2322
18_0	6026	2359
18_0	6224	2400
18_0	6027	2440
18_0	6028	2460
18_0	6080	2612
18_0	6081	2640
18_0	6234	2774
18_0	6235	2821
18_0	6236	2877
18_0	6237	2992
18_0	6238	3054
18_0	6239	3122
18_0	6240	3221
18_0	6241	3300
717_0	6011	0
717_0	6014	121
717_0	6015	188
717_0	6016	243
717_0	6055	284
717_0	6019	381
717_0	6021	471
717_0	6022	518
717_0	6023	575
717_0	6024	660
717_0	6025	707
717_0	6026	737
717_0	6224	766
717_0	6027	835
717_0	6028	869
717_0	6080	1131
717_0	6081	1176
717_0	6087	1271
717_0	6088	1338
717_0	6089	1410
717_0	6036	1428
717_0	6037	1473
717_0	6038	1517
717_0	6039	1590
717_0	6040	1621
717_0	6041	1675
717_0	6042	1734
717_0	7042	1800
901_0	8461	0
901_0	9463	88
901_0	9464	131
901_0	9465	174
901_0	9466	241
901_0	9567	290
901_0	9568	355
901_0	9569	407
901_0	9570	470
901_0	9571	503
901_0	9572	543
901_0	9573	591
901_0	9574	626
901_0	9575	664
901_0	8579	780
901_0	9583	936
901_0	9584	1013
901_0	9585	1063
901_0	9586	1115
901_0	9587	1182
901_0	9688	1276
901_0	9689	1344
901_0	9690	1408
901_0	9691	1495
901_0	9692	1580
901_0	9693	1665
901_0	9694	1747
901_0	9601	1786
901_0	9602	1844
901_0	9604	1895
901_0	9605	1980
465_0	2527	0
465_0	2533	508
465_0	2525	600
465_0	2511	859
465_0	2622	928
465_0	2623	982
465_0	2535	1045
465_0	2583	1139
465_0	2625	1183
465_0	2627	1329
465_0	2628	1409
465_0	2629	1486
465_0	2751	1800
465_0	2503	1893
465_0	2501	1929
465_0	2504	1964
465_0	2506	2000
465_0	2508	2026
465_0	2510	2063
465_0	2512	2094
465_0	2514	2118
465_0	2516	2160
465_0	2518	2179
465_0	2520	2210
465_0	2522	2255
465_0	2524	2292
465_0	2526	2360
465_0	2528	2415
465_0	2530	2456
465_0	2532	2487
465_0	2534	2520
465_0	2536	2546
465_0	2538	2572
465_0	2540	2600
465_0	2541	2637
465_0	2543	2666
465_0	2712	2678
465_0	2547	2685
465_0	2549	2718
465_0	2716	2757
465_0	2718	2801
465_0	2720	2829
465_0	2722	2848
465_0	2724	2884
465_0	2726	2903
465_0	2728	2928
465_0	2730	2968
465_0	2732	2994
465_0	2734	3051
465_0	2736	3079
465_0	2738	3125
465_0	2740	3174
465_0	2744	3240
465_1	2738	0
465_1	2740	49
465_1	2744	95
465_1	2748	166
465_1	2750	221
465_1	2752	263
465_1	2754	293
465_1	2756	315
465_1	2758	331
465_1	2760	370
465_1	2761	388
465_1	2762	412
465_1	2764	463
465_1	2765	499
465_1	2768	542
465_1	2554	587
465_1	2556	615
465_1	2558	644
465_1	2560	668
465_1	2562	693
465_1	2564	742
465_1	2566	768
465_1	2568	798
465_1	2570	861
465_1	2572	922
465_1	2574	973
465_1	2576	1004
465_1	2578	1043
465_1	2580	1064
465_1	2582	1110
465_1	2584	1134
465_1	2586	1169
465_1	2588	1197
465_1	2590	1231
465_1	2592	1265
465_1	2501	1297
465_1	2503	1333
465_1	2742	1440
465_1	2521	1612
465_1	2523	1747
465_1	2610	1772
465_1	2505	1842
465_1	2612	1921
465_1	2613	1948
465_1	2583	2032
465_1	2625	2077
465_1	2616	2289
465_1	2617	2344
465_1	2619	2479
465_1	2527	2640
465_1	2533	2894
465_1	2525	2940
901_1	8607	0
901_1	8604	59
901_1	8602	95
901_1	8601	133
901_1	8694	151
901_1	8693	209
901_1	8692	260
901_1	8691	316
901_1	8690	354
901_1	8689	413
901_1	8588	460
901_1	8587	508
901_1	8586	552
901_1	8585	593
901_1	8584	640
901_1	9580	754
901_1	8575	857
901_1	8573	902
901_1	8572	953
901_1	8571	991
901_1	8570	1019
901_1	8569	1099
901_1	8568	1130
901_1	8467	1179
901_1	8466	1239
901_1	8465	1301
901_1	8464	1354
901_1	8463	1401
901_1	8461	1428
442_0	2032	0
442_0	2781	223
442_0	2500	321
442_0	2502	425
442_0	2504	485
442_0	2506	545
442_0	2508	588
442_0	2510	649
442_0	2512	700
442_0	2514	740
442_0	2516	809
442_0	2518	840
442_0	2520	891
442_0	2522	965
442_0	2524	1026
442_0	2526	1138
442_0	2528	1229
442_0	2530	1296
442_0	2532	1347
442_0	2534	1402
442_0	2536	1444
