stop_id	stop_code	stop_name	stop_desc	stop_lat	stop_lon	zone_id	location_type	parent_station
7951	7951	Buckley Road (near 108)	BuckleyRd (108)	-41.33689713	174.7827608	3	0	
2354	2354	Champion Street (near 38)	ChampionSt (38)	-41.13513763	174.8510329	5	0	
8611	8611	Moeraki Road (near 32)	MoerakiRd (32)	-41.11041447	175.1003147	7	0	
7786	7786	Aro Street opposite Holloway Road	AroSt opp Holloway	-41.293883	174.761684	1	0	
2916	2916	Tireti Road (near 59)	TiretiRd (59)	-41.10966977	174.8326915	5	0	
1515	1515	Waikanae School (school stop)	WaikanaeSch (sch)	-40.87679826	175.0689793	10	0	
1234	1234	Martin Road at Walton Road	MartinRd at Walton	-40.88852911	174.9957141	9	0	
6913	6913	Taranaki Street (near 217)	TaranakiSt (217)	-41.29900253	174.7752786	1	0	
6559	6559	Hataitai Road at Hataitai School	HataitaiRd at HataitaiSch	-41.2978909	174.8004493	2	0	
6163	6163	Houghton Bay - The Esplanade (near 86)	HgtnBay-TheEsp (86)	-41.341733	174.784566	3	0	
5410	5410	Cockayne Road (near 196)	CockayneRd (196)	-41.25263441	174.7798706	3	0	
3014	3014	Ohariu Road (near 67)	OhariuRd (67)	-41.21715345	174.8025273	3	0	
7729	7729	Quebec Street at Baffin Grove	QuebecSt at Baffin	-41.32097999	174.7635688	2	0	
RARO	RARO	Raroa Station	RaroaStn	-41.23225739	174.8017479	3	0	
1937	1937	High Street North (near 238)	HighStN (238)	-41.02012639	175.5321187	13	0	
4936	4936	Mairangi - Norwich Street	Mairangi-NorwichSt	-41.26503531	174.764211	2	0	
3921	3921	Redwood School (school stop)	RedwoodSch (sch)	-41.181721	174.821667	4	0	
3237	3237	Churton Drive at Windermeer Grove	ChurtonDr at Windermeer	-41.21162677	174.8094557	3	0	
1900	1900	Martinborough - Kitchener Street (near 14)	Martinborough-KitchenerSt (14)	-41.21699685	175.4582321	13	0	
6936	6936	Hungerford Road at Houghton Bay Road	HungerfordRd at HoughtonBay	-41.33880744	174.7873543	3	0	
7044	7044	Inglis Street opposite Mantell Street	InglisSt opp Mantell	-41.32819752	174.8319928	3	0	
WEST	WEST	Western Hutt Station	WesternHuttStn	-41.21187	174.889995	4	0	
9859	9859	San Antonio School (hail and ride) (school stop)	SanAntonioSch (h/r) (sch)	-41.293577	174.894997	6	0	
7014	7014	Adelaide Road at Basin Reserve (near 12)	AdelaideRd at Basin (12)	-41.30174187	174.7795879	1/2	0	
7572	7572	Alexandra Road at SPCA	AlexandraRd at SPCA	-41.307091	174.787932	2	0	
3212	3212	Burbank Crescent at Wantwood Street	BurbankCres at Wantwood	-41.20541744	174.8099574	3	0	
9167	9167	Waiwhetu Road at Waterloo Road (near 175)	WaiwhetuRd at Waterloo (175)	-41.21291848	174.9303986	4	0	
9049	9049	Belmont Flat - Western Hutt Road (northbound)	BelmontFlt-WesternHuttRd (n)	-41.18607212	174.9360481	5	0	
9409	9409	Pinehaven Road at Blue Mountains Road	PinehavenRd at BlueMtns	-41.15537692	175.0136804	6	0	
5923	5923	Northland Road (near 87)	NorthlandRd (87)	-41.28150761	174.7590426	2	0	
9117	9117	High Street at Melling Link	HighSt at MellingLink	-41.20643809	174.9085013	4	0	
5423	5423	Cashmere Avenue School (opposite)	CashmereAveSch (opp)	-41.24783969	174.7985969	3	0	
1610	1610	Reeves Street (near 7)	ReevesSt (7)	-40.85317077	175.037237	10	0	
3918	3918	Main Road Tawa (near 249)	MainRdTawa (249)	-41.16506809	174.8268446	4	0	
7795	7795	Happy Valley Road (near 305)	HappyVlyRd (305)	-41.32691632	174.7582324	3	0	
2122	2122	Warspite Avenue (near 183)	WarspiteAve (183)	-41.1323261	174.8800226	5	0	
8533	8533	Lane Street (near 4)	LaneSt (4)	-41.13355452	175.0609047	7	0	
6040	6040	Dundas Street at Falkirk Avenue	DundasSt at Falkirk	-41.32254646	174.8305202	3	0	
1927	1927	State Highway 2 at Waihakeke Road	SH2 at Waihakeke	-41.05094256	175.4985586	13	0	
9245	9245	High Street at Tennyson Avenue	HighSt at Tennyson	-41.19359192	174.9441398	5	0	
3980	3980	Middleton Road (near 48)	MiddletonRd (48)	-41.21839359	174.8095995	3	0	
7131	7131	The Parade (near 98)	Parade (98)	-41.33253142	174.7735137	3	0	
7123	7123	Luxford Street at Rintoul Street	LuxfordSt at Rintoul	-41.31986465	174.7775174	2	0	
6140	6140	Frobisher Street (near 35)	FrobisherSt (35)	-41.34179991	174.7626964	3	0	
6017	6017	Wellington Hospital - Stop C	WgtnHosp-C	-41.308939	174.778593	2	0	
5133	5133	Gloucester Street at Worcester Street (near 21)	GloucesterSt at Worcester (21)	-41.27009861	174.7570649	2	0	
8241	8241	Molesworth Street at Partridge Street	MolesworthSt at Partridge	-41.17130183	174.9625531	5	0	
1588	1588	Sylvan Avenue (near 39)	SylvanAve (39)	-40.8692436	175.0627703	10	0	
5454	5454	Bombay Street at Tarikaka Street	BombaySt at Tarikaka	-41.24945	174.7811	3	0	
PLIM1	PLIM1	Plimmerton Station	PlimmertonStn	-41.08388941	174.8672587	6	0	PLIM	
9138	9138	Harbour View Road at Panorama Grove (school stop)	HarbourViewRd at Panorama (sch)	-41.20279	174.89532	4	0	
5516	5516	Courtenay Place - Stop C	CourtenayPl-C	-41.29375246	174.7827796	1	0	
3772	3772	Glanmire Road at Turville Crescent	GlanmireRd at Turville	-41.2291556	174.8239749	3	0	
5098	5098	Jervois Quay at Frank Kitts Park (school stop)	JervoisQy at FrankKittsPk (sch)	-41.287709	174.778363	1	0	
6091	6091	Monorgan Road at Scots College (school stop)	MonorganRd at Scots (sch)	-41.32823532	174.8182524	3	0	
1972	1972	South Road at Kuripuni Street	SouthRd at Kuripuni	-40.95908498	175.6471705	14	0	
8980	8980	Wise Street at Derwent Street (near 39)	WiseSt at Derwent (39)	-41.25139035	174.9511043	5	0	
9058	9058	Dowse Drive at Acacia Avenue (near 215)	DowseDr at Acacia (215)	-41.20485371	174.8788774	4	0	
8551	8551	Shakespeare Avenue (near 49)	ShakespeareAve (49)	-41.12447236	175.0448969	7	0	
9316	9316	George Street at Logie Street	GeorgeSt at Logie	-41.17506747	174.9793549	6	0	
7092	7092	Raukawa Street (near 40)	RaukawaSt (40)	-41.33114275	174.8166604	3	0	
8978	8978	Wise Street at Pencarrow Crescent (near 127)	WiseSt at Pencarrow (127)	-41.24420645	174.9498165	5	0	
2306	2306	Champion Street at Hereford Street (near 129)	ChampionSt at Hereford (129)	-41.13525228	174.8606864	5	0	
7124	7124	Luxford Street at Berhampore Shops	LuxfordSt at BerhamporeShops	-41.31980227	174.7757236	2	0	
6270	6270	Awa Road at Seatoun Heights Road	AwaRd at Seatoun Heights	-41.31224788	174.8267676	3	0	
3909	3909	Takapu Road opposite Bing Lucas Drive (school stop)	TakapuRd opp BingLucas (sch)	-41.18156	174.834726	4	0	
6941	6941	Russell Terrace opposite Angus Avenue	RussellTce opp Angus	-41.319251	174.780581	2	0	
9132	9132	Cornwall Street at RSA	CornwallSt at RSA	-41.21075355	174.9089845	4	0	
9916	9916	Wood Street (near 56)	WoodSt (56)	-41.27988505	174.9492068	5	0	
1249	1249	Kapiti Road at Tudor Court	KapitiRd at Tudor	-40.89556388	174.9847672	9	0	
9576	9576	Wilson Street at Bradley Lane	WilsonSt at Bradley	-41.124958	175.0681401	7	0	
7129	7129	The Parade (near 36)	Parade (36)	-41.32902251	174.7739488	3	0	
6541	6541	Evans Bay Parade near Little Karaka Bay	EvansBayPde nr LittleKarakaBay	-41.28991939	174.803335	2	0	
1877	1877	Opaki Road at First Street	OpakiRd at First	-40.94307064	175.6698121	14	0	
2523	2523	Mana Esplanade near BP	ManaEsp nr PetrolStn	-41.09602385	174.8691041	6	0	
9955	9955	Mohaka Street (near 29)	MohakaSt (29)	-41.24754303	174.9335658	5	0	
2505	2505	Mana View Road (hail and ride) (school stop)	ManaViewRd (h/r) (sch)	-41.094574	174.872189	6	0	
2613	2613	Penryn Drive (near 9) (hail and ride) (school stop)	PenrynDr (9) (sch)	-41.09130616	174.8738612	6	0	
2766	2766	Discovery Drive at The Sounding	DiscoveryDr at Sounding	-41.11363934	174.8880643	6	0	
3220	3220	Amesbury Drive at Derry Hill	AmesburyDr at DerryHl	-41.20189655	174.8047322	3	0	
6939	6939	Sinclair Park - Houghton Bay Road (school stop)	SinclairPk-HoughtonBayRdv (sch)	-41.33073411	174.7852217	3	0	
7216	7216	Waitoa Road at Bus Tunnel (near 73)	WaitoaRd at Tnnl (73)	-41.30230235	174.7921126	2	0	
5117	5117	Grosvenor Terrace at Orchard Street steps	GrosvenorTce at OrchardSt steps	-41.26695547	174.7799014	2	0	
6769	6769	Karepa Street at Mitchell Street	KarepaSt at Mitchell	-41.30737327	174.7580655	2	0	
9106	9106	Railway Avenue (near 21)	RailwayAve (21)	-41.21226993	174.8935224	4	0	
9293	9293	Kowhai Street at Cambridge Terrace	KowhaiSt at CambridgeTce	-41.19298846	174.9531844	5	0	
9558	9558	Gibbons Street opposite Flora McCurdy Walk	GibbonsSt at FMcCurdyWalk	-41.11942366	175.0653459	7	0	
8287	8287	Hewer Crescent at Sladden Street (near 116)	HewerCres at Sladden (116)	-41.19415881	174.9532192	5	0	
2930	2930	Titahi Bay - Pikarere Street (near 132)	TitahiBay-PikarereSt (132)	-41.1115278	174.8234536	5	0	
6552	6552	Evans Bay Parade (opposite 508)	EvansBayPde (opp 508)	-41.31145932	174.7967611	2	0	
5322	5322	Chaytor Street at Joll Street	ChaytorSt at Joll	-41.28269364	174.7521488	3	0	
9145	9145	Waiwhetu Road at Rodney Street (near 40)	WaiwhetuRd at Rodney (40)	-41.22273227	174.9144628	4	0	
7924	7924	Wellington Zoo - Stop A	WgtnZoo-A	-41.31922279	174.7840711	2	0	
1122	1122	Michael Road (near 47)	MichaelRd (47)	-40.88341347	174.999833	9	0	
6010	6010	Basin Reserve (school stop)	BasinRes (sch)	-41.3012281	174.7814013	1	0	
9526	9526	Trentham Station - Ararino Street	TrenthamStn-ArarinoSt	-41.13709535	175.0390937	6/7	0	
7087	7087	Ira Street at Miramar Avenue (near 95)	IraSt at Miramar (95)	-41.31801756	174.8197174	3	0	
6025	6025	Crawford Road at Childers Terrace	CrawfordRd at Childers	-41.31720028	174.7934594	2	0	
8272	8272	Waddington Drive at Hamerton Street	WaddingtonDr at Hamerton	-41.20418345	174.9409947	5	0	
2334	2334	Bedford Street at Durham Street (near 73)	BedfordSt at Durham (73)	-41.14600418	174.8642077	5	0	
9130	9130	Lower Hutt - Queensgate - Stop C	LowerHutt-C	-41.21037055	174.904918	4	0	
8091	8091	London Road (near 30)	LondonRd (30)	-41.21548057	174.8734559	4	0	
8621	8621	Plateau Road at Te Marua Store	PlateauRd at TeMaruaStore	-41.09392149	175.1302689	8	0	
7037	7037	Broadway at Bentinck Avenue	Broadway at Bentinck	-41.32410641	174.8230364	3	0	
6540	6540	Evans Bay Parade near Point Jerningham	EvansBayPde nr PtJerningham	-41.28775	174.80384	2	0	
1906	1906	State Highway 53 at Camp Road	SH53 at Camp	-41.13462256	175.352937	11	0	
2612	2612	Mana View Road opposite Penryn Drive (hail and ride) (school stop)	ManaViewRd opp PenrynDr (h/r) (sch)	-41.0916019	174.8721982	6	0	
